# coverage of finite groups of order <= 60
# enumeration: GAP SmallGroups library (CITED, external)
# fixpoint rounds for R1: 2
# UNRESOLVED means: not covered by C1-C5/R1. NOT a height >= 2 claim.
order	id	structure	verdict	monolithic	phase	abelian_normal
32	49	(C2 x C2 x C2) : (C2 x C2)	C2-nilpotent2	true	0	-
32	50	(C2 x Q8) : C2	C2-nilpotent2	true	0	-
32	51	C2 x C2 x C2 x C2 x C2	C1-abelian	false	2	C2 x C2 x C2 x C2
33	1	C33	C1-abelian	false	3	C11
34	1	D34	C3-AsemiE	true	2	C17
34	2	C34	C1-abelian	false	2	C17
35	1	C35	C1-abelian	false	5	C7
36	1	C9 : C4	C4-dicyclic	false	4	C9
36	2	C36	C1-abelian	false	4	C9
36	3	(C2 x C2) : C9	R1-subdirect	false	9	C2 x C2
36	4	D36	C3-AsemiE	false	2	C18
36	5	C18 x C2	C1-abelian	false	2	C18
36	6	C3 x (C3 : C4)	R1-subdirect	false	4	C3 x C3
36	7	(C3 x C3) : C4	R1-subdirect	false	4	C3 x C3
36	8	C12 x C3	C1-abelian	false	3	C12
36	9	(C3 x C3) : C4	UNRESOLVED	true	4	C3 x C3
36	10	S3 x S3	C3-AsemiE	false	0	-
36	11	C3 x A4	R1-subdirect	false	3	C6 x C2
36	12	C6 x S3	C3-AsemiE	false	2	C6 x C3
36	13	C2 x ((C3 x C3) : C2)	C3-AsemiE	false	2	C6 x C3
36	14	C6 x C6	C1-abelian	false	2	C6 x C3
37	1	C37	C1-abelian	true	37	1
38	1	D38	C3-AsemiE	true	2	C19
38	2	C38	C1-abelian	false	2	C19
39	1	C13 : C3	UNRESOLVED	true	3	C13
39	2	C39	C1-abelian	false	3	C13
40	1	C5 : C8	R1-subdirect	false	8	C5
40	2	C40	C1-abelian	false	5	C8
40	3	C5 : C8	UNRESOLVED	false	8	C5
40	4	C5 : Q8	C4-dicyclic	false	0	-
40	5	C4 x D10	C3-AsemiE	false	2	C20
40	6	D40	C3-AsemiE	false	2	C20
40	7	C2 x (C5 : C4)	R1-subdirect	false	4	C10
40	8	(C10 x C2) : C2	C3-AsemiE	false	2	C10 x C2
40	9	C20 x C2	C1-abelian	false	2	C20
40	10	C5 x D8	C2-nilpotent2	false	2	C10 x C2
40	11	C5 x Q8	C2-nilpotent2	false	0	-
40	12	C2 x (C5 : C4)	UNRESOLVED	false	4	C10
40	13	C2 x C2 x D10	C3-AsemiE	false	2	C10 x C2
40	14	C10 x C2 x C2	C1-abelian	false	2	C10 x C2
41	1	C41	C1-abelian	true	41	1
